,Language_ID,label_,outlier_prob,cluster_prob
0,p_abui1241_545,1,0.0,1.0
1,v_ache1246_1,3,0.0,1.0
2,v_afri1274_62,5,0.0,1.0
3,v_alba1267_8,4,0.0,1.0
4,p_algo1255_825,6,0.0,1.0
5,v_alya1239_9,6,0.0,1.0
6,v_amha1245_10,3,0.0,1.0
7,v_anci1242_13,5,0.0,1.0
8,p_arab1267_555,6,0.0,1.0
9,p_assi1247_788,6,0.0,1.0
10,v_asut1235_21,4,0.0,1.0
11,p_atta1244_562,1,0.0,1.0
12,p_baff1241_789,-1,0.1250000000000002,0.0
13,p_bala1310_571,0,,0.0
14,v_balo1260_39,0,,0.0
15,v_band1339_41,-1,0.09090909090909094,0.0
16,v_bann1248_42,6,0.5,0.5
17,p_bard1254_576,7,0.0,1.0
18,v_bata1285_46,6,0.0,1.0
19,v_bela1254_49,5,0.0,1.0
20,p_beng1280_790,6,0.0,1.0
21,v_bera1259_54,0,0.0,1.0
22,p_biak1248_581,-1,0.3170731707317074,0.0
23,v_bila1255_57,8,,0.0
24,p_bino1237_674,1,0.0,1.0
25,v_bret1244_63,4,0.0,1.0
26,p_brul1239_805,6,0.0,1.0
27,v_buku1249_66,4,0.0,1.0
28,v_bulg1262_67,6,0.0,1.0
29,p_burm1266_792,6,0.0,1.0
30,v_bush1247_70,5,0.0,1.0
31,p_cayu1261_794,7,0.0,1.0
32,v_cent1972_77,3,0.0,1.0
33,p_chek1238_610,-1,0.11111111111111098,0.0
34,p_chep1245_611,1,0.0,1.0
35,p_cher1273_795,6,0.39999999999999997,0.6
36,p_chic1270_797,6,0.2500000000000001,0.7499999999999999
37,v_chip1261_109,0,0.0,1.0
38,p_choc1276_799,6,0.33333333333333326,1.0
39,v_chok1245_87,8,,0.0
40,p_chuu1238_612,8,0.0,1.0
41,v_coca1259_90,4,,0.0
42,p_comm1246_812,6,0.5714285714285713,0.4285714285714286
43,p_cota1241_613,8,0.0,1.0
44,p_cree1270_802,6,0.39999999999999997,0.6
45,p_cree1272_801,6,0.0,1.0
46,p_crow1244_803,6,0.0,1.0
47,v_cube1242_97,6,0.2500000000000001,0.7499999999999999
48,v_cusc1236_99,0,,0.0
49,v_czec1258_100,5,0.0,1.0
50,p_dako1258_806,6,0.0,1.0
51,v_dani1285_102,4,0.0,1.0
52,v_dari1249_105,6,0.625,0.37499999999999994
53,p_dhuw1249_623,-1,0.5,0.0
54,v_digo1243_112,8,,0.0
55,p_djin1251_678,6,0.5714285714285713,0.4285714285714286
56,p_dogr1252_861,6,0.5714285714285713,0.4285714285714286
57,p_dupa1235_628,2,0.0,1.0
58,v_dutc1256_120,5,0.0,1.0
59,v_east2447_141,2,0.0,1.0
60,v_esto1258_133,0,0.0,1.0
61,v_fang1246_135,-1,0.11111111111111098,0.0
62,v_fris1239_140,4,0.0,1.0
63,p_gang1267_649,6,0.0,1.0
64,p_gilb1244_828,2,0.0,1.0
65,p_gros1243_786,6,0.5,0.5
66,v_guaj1256_148,6,0.5714285714285713,0.4285714285714286
67,p_guja1252_815,-1,0.16666666666666669,0.0
68,p_gunw1252_586,7,0.2857142857142857,0.7142857142857143
69,p_gwic1235_831,6,0.5,0.5
70,p_hare1243_816,6,0.2500000000000001,0.7499999999999999
71,p_hawa1245_817,6,0.0,1.0
72,v_haya1250_162,-1,0.19999999999999984,0.0
73,v_here1253_164,0,0.0,1.0
74,p_hida1246_839,6,0.33333333333333326,1.0
75,p_hind1269_818,6,0.5714285714285713,0.4285714285714286
76,v_hitt1242_168,0,,0.0
77,v_hung1274_253,0,0.0,1.0
78,v_icar1234_104,0,0.0,1.0
79,v_icel1247_172,0,,0.0
80,p_idii1243_664,8,,0.0
81,v_ingr1248_176,0,,0.0
82,p_iowa1245_819,6,0.0,1.0
83,v_iris1253_179,0,,0.0
84,v_ital1282_180,5,0.0,1.0
85,p_japa1256_820,6,0.5,0.5
86,v_jica1244_186,5,0.0,1.0
87,v_kaiw1246_190,-1,0.0,0.0
88,v_kalk1246_191,6,0.2500000000000001,0.7499999999999999
89,v_kama1373_192,8,,0.0
90,v_kamb1297_193,0,0.0,1.0
91,p_kans1243_826,6,0.0,1.0
92,v_kaon1241_195,1,0.0,1.0
93,v_kapi1249_196,0,,0.0
94,p_kare1337_824,-1,0.19999999999999984,0.0
95,v_kari1304_199,6,0.39999999999999997,0.6
96,v_kash1277_203,6,0.625,0.37499999999999994
97,v_kaur1267_204,0,0.0,1.0
98,p_kaya1318_690,-1,0.0,0.0
99,v_kaya1329_205,0,,0.0
100,v_kett1243_209,4,0.0,1.0
101,p_kick1244_827,6,0.0,1.0
102,v_kiku1240_210,3,0.0,1.0
103,p_kira1248_694,2,0.0,1.0
104,p_kiwa1251_695,6,0.5,0.5
105,v_komc1235_214,3,0.0,1.0
106,p_komn1238_701,8,,0.0
107,v_komo1260_216,-1,0.19999999999999984,0.0
108,p_kosr1238_830,-1,0.5555555555555555,0.0
109,v_kuka1246_220,8,,0.0
110,p_kwai1243_712,1,0.0,1.0
111,v_kwas1243_226,0,0.0,1.0
112,v_lahn1241_229,3,0.0,1.0
113,p_lako1247_804,6,0.0,1.0
114,v_latv1249_235,4,0.0,1.0
115,v_laua1243_236,3,0.0,1.0
116,p_laur1250_875,6,0.5714285714285713,0.4285714285714286
117,p_lena1238_729,0,,0.0
118,p_lete1241_730,6,0.5714285714285713,0.4285714285714286
119,v_ling1263_238,4,,0.0
120,v_lipa1241_239,5,,0.0
121,p_lisu1250_733,6,0.5,0.5
122,v_lith1251_240,5,0.0,1.0
123,v_lozi1239_241,-1,0.5,0.0
124,v_luba1249_243,0,0.0,1.0
125,v_luxe1241_249,0,,0.0
126,v_mace1250_251,4,0.0,1.0
127,v_mait1250_255,6,0.0,1.0
128,v_mako1251_256,0,,0.0
129,v_mala1479_93,0,,0.0
130,p_male1293_813,6,0.0,1.0
131,p_mana1295_755,1,0.0,1.0
132,v_mang1401_260,8,,0.0
133,p_mang1402_757,8,0.0,1.0
134,p_mang1405_760,-1,0.16666666666666669,0.0
135,p_mani1235_986,-1,0.0,0.0
136,v_mans1258_261,0,0.0,1.0
137,v_mara1378_263,6,0.0,1.0
138,p_marq1246_765,8,0.0,1.0
139,p_mars1254_766,3,0.0,1.0
140,v_mart1256_266,7,0.16666666666666669,0.8333333333333333
141,v_masa1299_268,-1,0.21052631578947353,0.0
142,v_mbal1257_271,0,0.0,1.0
143,p_meno1252_836,6,0.0,1.0
144,v_mesc1238_85,-1,0.33333333333333326,0.0
145,p_mesk1242_863,6,0.0,1.0
146,p_meya1236_781,-1,0.0,0.0
147,p_miam1252_837,6,0.0,1.0
148,v_mido1240_279,6,0.5714285714285713,0.4285714285714286
149,p_mikm1235_838,6,0.5,0.5
150,v_mode1248_281,5,0.0,1.0
151,p_moha1258_840,-1,0.11111111111111098,0.0
152,p_mohe1244_841,6,0.2500000000000001,0.7499999999999999
153,v_mokp1239_283,0,,0.0
154,p_mong1331_691,1,0.0,1.0
155,v_mong1338_284,3,0.0,1.0
156,p_motu1246_888,2,0.0,1.0
157,p_mouk1240_557,-1,0.11111111111111098,0.0
158,v_mpuo1241_273,0,0.0,1.0
159,p_muns1251_843,6,0.0,1.0
160,p_muss1246_895,1,0.0,1.0
161,p_nage1237_898,-1,0.11111111111111098,0.0
162,p_namb1293_907,8,,0.0
163,p_nenn1238_912,8,,0.0
164,v_nepa1254_297,6,0.5714285714285713,0.4285714285714286
165,p_ngal1292_616,-1,0.0714285714285713,0.0
166,v_nhan1238_308,8,,0.0
167,v_niue1239_310,2,0.0,1.0
168,v_nort1551_316,6,0.5,0.5
169,v_nort2641_321,6,0.625,0.37499999999999994
170,v_nort2845_315,8,0.0,1.0
171,v_nort2952_317,7,0.0,1.0
172,v_nort2972_318,0,0.0,1.0
173,v_norw1259_326,5,0.0,1.0
174,v_nucl1235_124,0,0.0,1.0
175,p_nucl1305_793,6,0.0,1.0
176,v_nucl1643_184,0,0.0,1.0
177,p_nucl1653_877,6,0.0,1.0
178,v_nyor1246_332,3,0.0,1.0
179,p_ojib1241_844,6,0.2500000000000001,0.7499999999999999
180,v_oldh1241_337,0,,0.0
181,v_oldn1244_339,0,,0.0
182,p_omah1247_849,6,0.0,1.0
183,v_onaa1245_399,0,,0.0
184,p_onei1249_850,7,0.0,1.0
185,p_onon1246_851,7,0.0,1.0
186,v_onto1237_343,2,0.0,1.0
187,v_opat1246_344,0,0.0,1.0
188,v_oriy1255_345,6,0.0,1.0
189,p_osag1243_852,6,0.39999999999999997,0.6
190,v_osse1243_347,3,0.0,1.0
191,p_otoo1241_853,6,0.0,1.0
192,p_otta1242_854,6,0.0,1.0
193,p_owaa1237_931,5,,0.0
194,v_pana1305_473,-1,0.5,0.0
195,v_panj1256_352,6,0.0,1.0
196,v_pash1269_355,6,0.0,1.0
197,p_pawn1254_814,-1,0.09090909090909094,0.0
198,p_penr1237_944,8,0.0,1.0
199,p_peor1238_855,6,0.0,1.0
200,v_phen1239_358,-1,0.16666666666666663,0.0
201,p_pieg1239_857,6,0.0,1.0
202,v_pitt1247_364,6,0.2500000000000001,0.7499999999999999
203,p_plai1258_858,6,0.0,1.0
204,v_poli1260_367,-1,0.0,0.0
205,p_ponc1241_860,6,0.0,1.0
206,v_port1283_368,4,0.0,1.0
207,p_pwoo1239_822,4,,0.0
208,p_raka1237_959,8,0.0,1.0
209,p_rapa1245_930,8,0.0,1.0
210,v_roma1327_379,4,0.0,1.0
211,p_rotu1241_968,8,,0.0
212,v_russ1263_383,5,0.0,1.0
213,p_saaa1241_972,-1,0.11111111111111098,0.0
214,v_saka1287_386,0,,0.0
215,v_samo1305_388,-1,0.11111111111111098,0.0
216,p_sang1321_975,0,,0.0
217,v_sans1269_394,3,0.0,1.0
218,v_sans1272_389,0,0.0,1.0
219,p_sara1326_976,0,,0.0
220,v_sard1257_395,5,0.0,1.0
221,v_sate1242_396,5,0.0,1.0
222,p_sene1264_864,7,0.0,1.0
223,v_serb1264_402,5,0.0,1.0
224,p_sgaw1245_823,4,0.0,1.0
225,p_shaw1249_865,6,0.0,1.0
226,v_ship1254_407,4,0.0,1.0
227,v_sind1272_409,6,0.0,1.0
228,v_sinh1246_410,6,0.0,1.0
229,p_sini1245_798,6,0.39999999999999997,0.6
230,p_slav1253_867,6,0.5,0.5
231,v_slov1268_415,5,0.0,1.0
232,v_slov1269_414,5,0.0,1.0
233,v_soga1242_416,0,0.0,1.0
234,v_song1299_327,0,0.0,1.0
235,v_sout1528_401,6,0.625,0.37499999999999994
236,p_sout2856_897,6,0.5,0.5
237,v_sout2959_108,0,0.0,1.0
238,v_sout2976_419,0,0.0,1.0
239,v_stan1288_426,4,0.0,1.0
240,v_stan1289_422,5,0.0,1.0
241,v_stan1290_424,4,0.0,1.0
242,v_stan1293_423,0,,0.0
243,v_stan1295_425,5,0.0,1.0
244,v_suku1259_427,0,0.0,1.0
245,p_suzh1234_1006,6,0.2500000000000001,0.7499999999999999
246,v_swed1254_432,0,0.0,1.0
247,p_tahi1242_1009,8,,0.0
248,p_tami1289_870,6,0.39999999999999997,0.6
249,v_tana1285_437,8,,0.0
250,v_tapi1254_438,8,,0.0
251,v_tehu1242_440,0,,0.0
252,p_telu1262_871,6,0.0,1.0
253,v_temb1276_442,8,,0.0
254,v_tenh1241_444,1,0.0,1.0
255,p_tetu1246_1024,6,0.0,1.0
256,v_tiko1237_446,-1,0.24999999999999994,0.0
257,v_tivv1240_447,0,0.0,1.0
258,v_tong1325_457,8,0.0,1.0
259,v_toor1238_459,3,0.0,1.0
260,p_tuam1242_960,8,0.0,1.0
261,p_tubu1240_1047,8,0.0,1.0
262,p_turu1249_1053,6,0.39999999999999997,0.6
263,p_tusc1257_874,7,0.0,1.0
264,v_tuva1244_129,2,0.0,1.0
265,v_ukra1253_475,4,0.0,1.0
266,p_umir1236_1056,-1,0.4230769230769231,0.0
267,p_uppe1274_846,7,0.3750000000000001,0.6249999999999999
268,v_urdu1245_479,6,0.0,1.0
269,v_utee1244_421,6,0.5,0.5
270,p_vari1239_1064,2,0.0,1.0
271,v_veps1250_481,4,0.0,1.0
272,p_vera1241_1065,-1,0.11111111111111098,0.0
273,p_vure1239_1066,-1,0.11111111111111098,0.0
274,v_wall1255_488,5,0.0,1.0
275,p_wall1257_1068,-1,0.09090909090909094,0.0
276,p_wang1290_1071,6,0.0,1.0
277,v_wang1291_304,0,0.0,1.0
278,v_warl1254_496,7,0.3750000000000001,0.6249999999999999
279,p_warr1257_1073,7,0.0,1.0
280,v_wels1247_282,4,0.0,1.0
281,p_wers1238_1080,1,0.0,1.0
282,v_west1508_45,4,,0.0
283,v_west2369_505,6,0.0,1.0
284,v_west2386_506,0,0.0,1.0
285,v_west2615_504,-1,0.33333333333333326,0.0
286,p_winn1245_879,6,0.0,1.0
287,v_wira1262_509,0,0.0,1.0
288,p_woge1237_1090,-1,0.11111111111111098,0.0
289,p_wood1236_880,6,0.0,1.0
290,v_wulg1239_513,0,,0.0
291,v_wuvu1239_514,2,0.0,1.0
292,p_wyan1247_881,7,0.0,1.0
293,p_yagw1240_909,7,0.0,1.0
294,v_yaka1269_516,0,,0.0
295,v_yaka1272_515,0,,0.0
296,v_yala1262_517,0,0.0,1.0
297,v_yami1254_519,0,,0.0
298,p_yand1253_1099,7,0.0,1.0
299,p_yelm1242_1101,7,0.0,1.0
300,p_yidi1250_1102,7,0.0,1.0
301,v_yomb1244_531,-1,0.16666666666666669,0.0
302,v_yugu1249_534,8,,0.0
303,p_yura1255_1106,-1,0.11111111111111098,0.0
304,v_yuro1248_537,8,,0.0
305,p_zulu1248_785,6,0.0,1.0
